Date,company_name,Amount,Exchange,Segment,scrip_code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,side,quantity,price,yahoo_ticker,yahoo_stock_name
2025-08-20 00:00:00,SRM CONTRACTORS LIMITED,2964.3,BSE,EQ,544158,Equity,0,,3138800,13:57:52,Buy,6,494.05,544158.BO,544158.BO
2025-08-20 00:00:00,SRM CONTRACTORS LIMITED,9387.9,BSE,EQ,544158,Equity,0,,3139200,13:57:52,Buy,19,494.1,544158.BO,544158.BO
2025-08-18 00:00:00,SRM CONTRACTORS LIMITED,42195,NSE,EQ,544158,Equity,0,,601008730,09:29,Buy,87,485,544158.BO,544158.BO
2025-08-18 00:00:00,SRM CONTRACTORS LIMITED,1456.8,NSE,EQ,544158,Equity,0,,601008731,09:29,Buy,3,485.6,544158.BO,544158.BO
2025-08-18 00:00:00,Blue Jet Healthcare Limited,36942,BSE,EQ,544009,Equity,0,,2169100,09:25:13,Sell,47,786,BLUEJET.NS,BLUE JET HEALTHCARE LTD
2025-08-18 00:00:00,TIPS INDUSTR,35283,BSE,EQ,532375,Equity,0,,1302700,09:28:04,Sell,60,588.05,TIPSMUSIC.NS,TIPS MUSIC LIMITED
2025-08-12 00:00:00,SHAKTI PUMPS(BSE INDONEXT),16920,NSE,EQ,531431,Equity,0,,600656487,09:26:39,Buy,20,846,SHAKTIPUMP.NS,SHAKTI PUMPS (I) LTD
2025-08-12 00:00:00,RUTTONSHA IN,12500,BSE,EQ,517035,Equity,0,,545500,09:19:45,Buy,50,250,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-08-12 00:00:00,Blue Jet Healthcare Limited,30048.5,BSE,EQ,544009,Equity,0,,2660200,09:23:48,Sell,38,790.75,BLUEJET.NS,BLUE JET HEALTHCARE LTD
2025-08-12 00:00:00,Blue Jet Healthcare Limited,7116.3,BSE,EQ,544009,Equity,0,,2660400,09:23:48,Sell,9,790.7,BLUEJET.NS,BLUE JET HEALTHCARE LTD
2025-07-25 00:00:00,RUTTONSHA IN,13570,NSE,EQ,517035,Equity,0,,1267800,09:30:26,Sell,10,1357,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,0,NSE,EQ,517035,Equity,0,,BONUS,,Sell,42,0,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,16344.65,NSE,EQ,517035,Equity,0,,7137100,10:21:57,Sell,7,2334.95,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,15239,NSE,EQ,517035,Equity,0,,960800,09:20:48,Sell,7,2177,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,12228,NSE,EQ,517035,Equity,0,,3982700,10:11:24,Sell,6,2038,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,12395.7,NSE,EQ,517035,Equity,0,,204400,09:16:08,Sell,6,2065.95,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,16504,NSE,EQ,517035,Equity,0,,204200,09:16:08,Sell,8,2063,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,16503.6,NSE,EQ,517035,Equity,0,,204000,09:16:08,Sell,8,2062.95,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,13570,NSE,EQ,517035,Equity,0,,1267800,09:30:26,Buy,50,271.4,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,0,NSE,EQ,517035,Equity,0,,BONUS,,Buy,210,0,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,16344.65,NSE,EQ,517035,Equity,0,,7137100,10:21:57,Buy,35,466.99,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,15239,NSE,EQ,517035,Equity,0,,960800,09:20:48,Buy,35,435.4,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,12228,NSE,EQ,517035,Equity,0,,3982700,10:11:24,Buy,30,407.6,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,12395.7,NSE,EQ,517035,Equity,0,,204400,09:16:08,Buy,30,413.19,RIR.BO,RIR POWER ELECTRONICS LIMITED
2025-07-25 00:00:00,RUTTONSHA IN,16504,NSE,EQ,517035,Equity,0,,204200,09:16:08,Buy,40,412.6,RIR.BO,RIR POWER ELECTRONICS LIMITED
