scrip_code,yahoo_ticker
518091,APCL.NS
532067,3BBLACKBIO.BO
541301,ORIENTELEC.NS
532281,HCLTECH.NS
532163,SAREGAMA.NS
532215,AXISBANK.NS
500125,EIDPARRY.NS
500086,EXIDEIND.NS
506401,DEEPAKNTR.NS
500400,TATAPOWER.NS
541153,BANDHANBNK.NS
CDSL,CDSL.NS
524037,RAMAPHO.NS
532234,NATIONALUM.NS
542651,KPITTECH.NS
543235,ANGELONE.NS
500440,HINDALCO.NS
502986,VTL.NS
532749,ALLCARGO.NS
534076,RHIM.NS
541143,BDL.NS
DOLLAR,DOLLAR.NS
500171,GHCL.NS
500250,LGBBROSLTD.NS
500304,NIITLTD.NS
532755,TECHM.NS
500199,IGPL.NS
500295,VEDL.NS
532805,REDINGTON.NS
519600,CCL.NS
522074,ELGIEQUIP.NS
540673,SIS.NS
590051,SAKSOFT.NS
541154,HAL.NS
540762,TIINDIA.NS
522205,PRAJIND.NS
524226,GAEL.NS
517500,ROTO.NS
524129,VINYLINDIA.NS
509079,GUFICBIO.NS
532725,SOLARINDS.NS
532892,MOTILALOFS.NS
506854,TANFACIND.BO
517569,KEI.NS
526947,LAOPALA.NS
533758,APLAPOLLO.NS
500470,TATASTEEL.NS
500407,SWARAJENG.NS
542752,AFFLE.NS
500265,MAHSEAMLES.NS
540750,IEX.NS
540900,NEWGEN.NS
500268,MANALIPETC.NS
532400,BSOFT.NS
500012,ANDHRAPET.BO
534600,JTLIND.NS
540124,GNA.NS
500144,FINCABLES.NS
531761,APOLLOPIPE.NS
532622,GATEWAY.NS
500067,BLUESTARCO.NS
543396,PAYTM.NS
532321,ZYDUSLIFE.NS
500300,GRASIM.NS
532539,UNOMINDA.NS
541019,HGINFRA.NS
532809,FSL.NS
505714,GABRIEL.NS
590006,AMRUTANJAN.NS
532955,RECLTD.NS
MAHESHWARI,MAHESHWARI.NS
500380,JKLAKSHMI.NS
532822,IDEA.NS
507685,WIPRO.NS
524667,SOTL.NS
540180,VBL.NS
